,id,type,path,subtype,permissions,epoch,source,version,local address,remote port,protocol,remote address,local port,net namespace,memory address,size,tgid,read fd,write fd,svc
0,a41db92088a31a823a23ed48145dd661,Artifact,,network socket,,0.0,syscall,0,0.0.0.0,39612.0,tcp,172.31.30.227,6379.0,-1.0,,,,,,redis-cart
1,a2f50c6b069415c603efdac935d00de4,Artifact,,network socket,,0.0,syscall,0,0.0.0.0,39614.0,tcp,172.31.30.227,6379.0,-1.0,,,,,,redis-cart
2,be892937315bea0644510e695d37ac30,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,8080.0,tcp,0.0.0.0,46636.0,4026532231.0,,,,,,frontend
3,5a7a49b0a1c2096d4e6e896d35f9194d,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46636.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080.0,-1.0,,,,,,frontend
4,80a3b6046c1aa2dda29b76dc32d1e4fa,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,8080.0,tcp,0.0.0.0,46642.0,4026532231.0,,,,,,frontend
5,cf367aec66d57a49adcb74b784437e1f,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46642.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080.0,-1.0,,,,,,frontend
6,a89c134c210562dfccc3bea41c2d5d63,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36032.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051.0,-1.0,,,,,,paymentservice
7,8df23791c8b2af5a86b875d28afdcc51,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,50051.0,tcp,0.0.0.0,36032.0,4026532967.0,,,,,,paymentservice
8,e7026795986d1db96f7ca019fe9aca94,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46658.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080.0,-1.0,,,,,,frontend
9,f6afa0dc808e7927692a2a402dd37e1b,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,8080.0,tcp,0.0.0.0,46658.0,4026532694.0,,,,,,frontend
10,5ac5d0a9cea066d03b805a8a1e419e54,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,8080.0,tcp,0.0.0.0,46664.0,4026532694.0,,,,,,frontend
11,b19587f0ce057e0a68dedb9f2a76026e,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,46664.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,8080.0,-1.0,,,,,,frontend
12,df651caf48a8fb66322f4d4f0a0887ae,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55840.0,tcp,0000:0000:0000:0000:0000:FFFF:AC1F:1EE3,8080.0,-1.0,,,,,,frontend
13,7baa97ff0494788f0b47200ef6aaa6a8,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,50051.0,tcp,0.0.0.0,36038.0,4026532382.0,,,,,,paymentservice
14,69824c109ae4302f910be7a9e823d71c,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36038.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051.0,-1.0,,,,,,paymentservice
