,from,to,type,event id,flags,source,time,operation,protection,advice,pid
31,0ef366a12c22d68dcc35e410ab69719e,463300ec78aa5cf048742792ee5e5ef4,Used,1344,O_RDONLY,syscall,1702119793.604,open,,,
32,0ef366a12c22d68dcc35e410ab69719e,463300ec78aa5cf048742792ee5e5ef4,Used,1346,,syscall,1702119793.604,close,,,
33,711e85fad0a8d268142f6e203dae89f0,918d8eef7921d7ffed64cfa247e34504,WasTriggeredBy,1347,,syscall,1702119793.604,execve,,,
34,711e85fad0a8d268142f6e203dae89f0,463300ec78aa5cf048742792ee5e5ef4,Used,1347,,syscall,1702119793.604,load,,,
35,711e85fad0a8d268142f6e203dae89f0,ff24d51b85635ab8e2118892169b5c1d,Used,1348,O_RDONLY,syscall,1702119793.636,open,,,
36,711e85fad0a8d268142f6e203dae89f0,ff24d51b85635ab8e2118892169b5c1d,Used,1349,,syscall,1702119793.636,close,,,
37,c8d9b59492532a8b9733d302368ba3a5,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1350,,syscall,1702119793.64,mmap (write),3.0,,
38,40c6909e0a13834bd770505624453279,0ef366a12c22d68dcc35e410ab69719e,WasTriggeredBy,1351,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.64,clone,,,
39,c333b844164283db3c32b11865a5ac29,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1352,,syscall,1702119793.64,mmap (write),0.0,,
40,13b5f15a07dcec491ce8b4e5c38418bb,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1353,,syscall,1702119793.64,mmap (write),0.0,,
41,69320ba08c87768f3cb39a7a6094a6ad,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1354,,syscall,1702119793.64,mmap (write),0.0,,
42,d6996557a89ac599cc5067bec0e3165f,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1355,,syscall,1702119793.64,mmap (write),0.0,,
43,9bea935ed0a35e96bab24776304deb43,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1356,,syscall,1702119793.64,mmap (write),0.0,,
44,3d5b6240f05cfab3c19ec3b0c6de8eea,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1357,,syscall,1702119793.64,mmap (write),0.0,,
45,b97c755749e8709a2109eb329a0f2faa,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1358,,syscall,1702119793.64,mmap (write),3.0,,
46,2559f09cc690e940574a564bf186dd81,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1359,,syscall,1702119793.64,mmap (write),3.0,,
47,c6a115f20a8c0bd16713e9672d2ef72c,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1360,,syscall,1702119793.64,mmap (write),3.0,,
48,29c8df1b3063b240f75c8fa6d8435c30,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1361,,syscall,1702119793.64,mmap (write),3.0,,
49,82faacc4a7fcc57d472b97293ca6fd7c,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1362,,syscall,1702119793.64,mmap (write),3.0,,
50,804e05197f8e9e579d91a26f3b444d2e,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1363,,syscall,1702119793.64,mmap (write),3.0,,
51,8ab4cc3f734b1ea2930ddfeb33e10545,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1364,,syscall,1702119793.64,mmap (write),3.0,,
52,3bcdd002bacfb4fb48d7991b6ac68c97,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1365,,syscall,1702119793.64,mmap (write),3.0,,
53,ff2fd37297d7011b56c87cc87343e506,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1366,,syscall,1702119793.64,mmap (write),3.0,,
54,2fe81e76d7c2180a3b583d717e8735c0,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1367,,syscall,1702119793.644,mmap (write),3.0,,
55,070beccb01c76b84da7b1509008d3ac9,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1368,,syscall,1702119793.644,mmap (write),3.0,,
56,0ef366a12c22d68dcc35e410ab69719e,9b3a95bc82b0239cf9878d0ca894dc31,Used,1369,O_RDONLY,syscall,1702119793.644,open,,,
